trn,registry,date_registration,date_enrollement,retrospective_registration,recruitment_status,phase,study_type,countries,public_title,target_enrollment,web_address,euctr_country
NCT04424056,ClinicalTrials.gov,2020-06-08,2020-09-01,FALSE,Not Recruiting,Phase 3,Interventional,France,"A Trial Using ANAKINRA, TOCILIZUMAB Alone or in Association With RUXOLITINIB in Severe Stage 2b and 3 of COVID19-associated Disease",216,https://clinicaltrials.gov/show/NCT04424056,NA
NCT04424134,ClinicalTrials.gov,2020-05-27,2020-05-16,TRUE,Recruiting,Phase 3,Interventional,Russian Federation,BromhexIne And Spironolactone For Coron?VirUs Infection Requiring HospiTalization,80,https://clinicaltrials.gov/show/NCT04424134,NA
NCT04424771,ClinicalTrials.gov,2020-06-07,2020-03-01,TRUE,Not Recruiting,Not Applicable,Observational,Italy,Post-traumatic Stress Disease in Health Workers During COVID-19 Pandemia,800,https://clinicaltrials.gov/show/NCT04424771,NA
NCT04424836,ClinicalTrials.gov,2020-06-07,2020-05-15,TRUE,Not Recruiting,Not Applicable,Observational,Turkey,HFNC Treatment in COVID-19 Pneumonia,43,https://clinicaltrials.gov/show/NCT04424836,NA
NCT04424849,ClinicalTrials.gov,2020-06-08,2020-03-15,TRUE,Recruiting,Not Applicable,Observational,Turkey,Thorax Computed Tomography Severity Score and Outcome in COVID-19 Patients,40,https://clinicaltrials.gov/show/NCT04424849,NA
NCT04424940,ClinicalTrials.gov,2020-05-20,2020-09-01,FALSE,Not Recruiting,Not Applicable,Observational,Democratic Republic of Congo,COVID-19 Lessons Learned: the Outcome of TOMEKAÂ® Project is to Teach,800,https://clinicaltrials.gov/show/NCT04424940,NA
NCT04425044,ClinicalTrials.gov,2020-06-09,2020-04-12,TRUE,Not Recruiting,Not Applicable,Observational,India,AiM Covid Self Monitoring,1000,https://clinicaltrials.gov/show/NCT04425044,NA
NCT04425213,ClinicalTrials.gov,2020-05-28,2020-05-12,TRUE,Not Recruiting,Not Applicable,Observational,France,Obesity and Mortality of Critically Ill Patients With COVID-19,250,https://clinicaltrials.gov/show/NCT04425213,NA
NCT04425317,ClinicalTrials.gov,2020-05-27,2020-06-24,FALSE,Recruiting,Not Applicable,Interventional,Belgium,Detection of SARS-CoV-2 in Follicular Fluid and Cumulus-oocyte-complexes in COVID-19 Patients,20,https://clinicaltrials.gov/show/NCT04425317,NA
NCT04425382,ClinicalTrials.gov,2020-05-21,2020-03-01,TRUE,Recruiting,Not Applicable,Observational,Qatar,Darunavir/Cobicistat vs. Lopinavir/Ritonavir in COVID-19 Pneumonia in Qatar,200,https://clinicaltrials.gov/show/NCT04425382,NA
NCT04425460,ClinicalTrials.gov,2020-05-28,2020-06-01,FALSE,Not Recruiting,Phase 3,Interventional,"China, Germany, Romania","A Multi-center,Randomized,Double-blind,Placebo-controlled,Phase 3 Study Evaluating Favipiravir in Treatment of COVID19",256,https://clinicaltrials.gov/show/NCT04425460,NA
NCT04425499,ClinicalTrials.gov,2020-06-08,2020-06-01,TRUE,Not Recruiting,Not Applicable,Interventional,No Country Given,A Gamified Network for Surgical Education During COVID-19: A Randomized Controlled Trial,60,https://clinicaltrials.gov/show/NCT04425499,NA
NCT04425707,ClinicalTrials.gov,2020-06-08,2020-06-09,FALSE,Recruiting,Not Applicable,Interventional,Egypt,Ivermectin In Treatment of COVID 19 Patients,100,https://clinicaltrials.gov/show/NCT04425707,NA
NCT04425720,ClinicalTrials.gov,2020-06-02,2020-09-01,FALSE,Recruiting,Not Applicable,Interventional,United States,Use of Remote Monitoring for COVID-19 Patient,300,https://clinicaltrials.gov/show/NCT04425720,NA
NCT04425733,ClinicalTrials.gov,2020-06-08,2020-07-07,FALSE,Not Recruiting,Phase 1,Interventional,No Country Given,MK-5475 in Participants With Hypoxemia Due to COVID-19 Pneumonia (MK-5475-009),0,https://clinicaltrials.gov/show/NCT04425733,NA
NCT04425759,ClinicalTrials.gov,2020-06-08,2020-06-08,FALSE,Recruiting,Not Applicable,Observational,Spain,Prevalence and Risk Factors of SARS-CoV-2 Antibody Responses (COVID-19),2400,https://clinicaltrials.gov/show/NCT04425759,NA
NCT04425772,ClinicalTrials.gov,2020-05-09,2020-06-12,FALSE,Not Recruiting,Not Applicable,Interventional,No Country Given,A Clinical Trial for Azvudine in the Treatment of Novel Coronavirus Pneumonia (COVID-19),342,https://clinicaltrials.gov/show/NCT04425772,NA
NCT04425837,ClinicalTrials.gov,2020-05-29,2020-07-01,FALSE,Not Recruiting,Phase 2/Phase 3,Interventional,Colombia,Effectiveness and Safety of Convalescent Plasma in Patients With High-risk COVID-19,236,https://clinicaltrials.gov/show/NCT04425837,NA
NCT04425850,ClinicalTrials.gov,2020-06-08,2020-06-01,TRUE,Not Recruiting,Not Applicable,Observational,Argentina,USEFULNESS of Topic Ivermectin and Carrageenan to Prevent Contagion of Covid 19,229,https://clinicaltrials.gov/show/NCT04425850,NA
NCT04425863,ClinicalTrials.gov,2020-06-08,2020-05-01,TRUE,Not Recruiting,Not Applicable,Observational,Argentina,"Ivermectin, Aspirin, Dexamethasone and Enoxaparin as Treatment of Covid 19",167,https://clinicaltrials.gov/show/NCT04425863,NA
NCT04425889,ClinicalTrials.gov,2020-06-06,2020-05-05,TRUE,Not Recruiting,Not Applicable,Observational,Mexico,COVID-19 Antibodies Among Healthcare Workers,156,https://clinicaltrials.gov/show/NCT04425889,NA
NCT04426006,ClinicalTrials.gov,2020-06-09,2020-06-01,TRUE,Not Recruiting,Not Applicable,Interventional,France,Serological Response to SARS-Cov-2 Virus in Personnel of the Institut BergoniÃ© in the Context of the COVID-19 Pandemic,550,https://clinicaltrials.gov/show/NCT04426006,NA
NCT04426084,ClinicalTrials.gov,2020-06-09,2020-03-01,TRUE,Not Recruiting,Not Applicable,Observational,Sweden,Cardiovascular Risk Factors and Severe COVID-19. A Nationwide Registry-based Case-Control Study,22784,https://clinicaltrials.gov/show/NCT04426084,NA
NCT04426253,ClinicalTrials.gov,2020-06-09,2020-06-05,TRUE,Not Recruiting,Not Applicable,Observational,Hungary,"Identification of Genetic Factors Determining Disease Course in the New Type of Coronavirus Infection, COVID-19",1000,https://clinicaltrials.gov/show/NCT04426253,NA
NCT04426266,ClinicalTrials.gov,2020-06-08,2020-05-01,TRUE,Not Recruiting,Not Applicable,Observational,Hungary,Psychological Effects of the COVID-19 Pandemic on the Hungarian Adult Population,441,https://clinicaltrials.gov/show/NCT04426266,NA
NCT04426292,ClinicalTrials.gov,2020-06-08,2020-05-12,TRUE,Recruiting,Not Applicable,Interventional,Belgium,SARS-COV-2 Seroprevalence and Seroconversion Among Employees of the Universitair Ziekenhuis Brussel During the 2020 COVID-19 Outbreak,3500,https://clinicaltrials.gov/show/NCT04426292,NA
NCT04426344,ClinicalTrials.gov,2020-06-03,2020-10-01,FALSE,Not Recruiting,Not Applicable,Interventional,United States,Core Warming of COVID-19 Patients,0,https://clinicaltrials.gov/show/NCT04426344,NA
NCT04427098,ClinicalTrials.gov,2020-05-29,2020-05-22,TRUE,Recruiting,Phase 2,Interventional,Italy,Enoxaparin in COVID-19 Moderate to Severe Hospitalized Patients,300,https://clinicaltrials.gov/show/NCT04427098,NA
NCT04427137,ClinicalTrials.gov,2020-06-10,2020-06-09,TRUE,Recruiting,Not Applicable,Interventional,Canada,Accelerated LFR for Bipolar Patients During the COVID-19 Pandemic,50,https://clinicaltrials.gov/show/NCT04427137,NA
NCT04427176,ClinicalTrials.gov,2020-06-10,2020-04-29,TRUE,Not Recruiting,Not Applicable,Observational,France,Evaluation of ARFC Masks Equipped With CF5 Filter in the Care Unit to Allow a Wider Distribution of FFP2 Masks (Covid-19).,15,https://clinicaltrials.gov/show/NCT04427176,NA
NCT04427267,ClinicalTrials.gov,2020-06-10,2020-06-03,TRUE,Not Recruiting,Not Applicable,Observational,Russian Federation,Assessment of Thermal Condition of Health Workers Who Use Personal Protective Equipment From Biological Hazards During Their Work With COVID-19 Patients,6,https://clinicaltrials.gov/show/NCT04427267,NA
NCT04427280,ClinicalTrials.gov,2020-05-21,2020-05-26,FALSE,Recruiting,Not Applicable,Observational,United Kingdom,Cancer: Rapid Diagnostics and Immune Assessment for SARS-CoV-2 (COVID-19),60,https://clinicaltrials.gov/show/NCT04427280,NA
NCT04427345,ClinicalTrials.gov,2020-06-04,2020-04-30,TRUE,Recruiting,Not Applicable,Observational,Italy,Predictive Factors COVID-19 Patients,1000,https://clinicaltrials.gov/show/NCT04427345,NA
NCT04427358,ClinicalTrials.gov,2020-06-10,2020-05-07,TRUE,Not Recruiting,Not Applicable,Observational,France,RT-PCR SARS-CoV-2 at 1 Month of COVID-19 Infection in the Geriatric Population,100,https://clinicaltrials.gov/show/NCT04427358,NA
NCT04427631,ClinicalTrials.gov,2020-06-03,2020-06-22,FALSE,Not Recruiting,Not Applicable,Interventional,United Kingdom,Exploring Interventions for Glue Ear During Covid-19,20,https://clinicaltrials.gov/show/NCT04427631,NA
NCT04427735,ClinicalTrials.gov,2020-06-09,2019-01-24,TRUE,Recruiting,Not Applicable,Observational,China,Effect of Covid-19 Epidemic on Primary PCI in Patients With STEMI,200,https://clinicaltrials.gov/show/NCT04427735,NA
NCT04427813,ClinicalTrials.gov,2020-06-09,2020-06-11,FALSE,Not Recruiting,Not Applicable,Observational,Egypt,Sexual Health and Problems During the Covid -19 Infection,400,https://clinicaltrials.gov/show/NCT04427813,NA
NCT04427865,ClinicalTrials.gov,2020-06-10,2020-07-01,FALSE,Not Recruiting,Phase 2/Phase 3,Interventional,No Country Given,Utility of Lactoferrin as a Preventive Agent for Healthcare Workers Exposed to COVID-19,200,https://clinicaltrials.gov/show/NCT04427865,NA
NCT04427878,ClinicalTrials.gov,2020-06-10,2020-07-01,FALSE,Not Recruiting,Not Applicable,Interventional,France,Is Adipose Tissue a Reservoir for SARS-Cov2 Spread in Covid-19 Patients?,5,https://clinicaltrials.gov/show/NCT04427878,NA
NCT04428073,ClinicalTrials.gov,2020-06-08,2020-07-01,FALSE,Not Recruiting,Phase 1,Interventional,No Country Given,Therapeutic Vaccine Trial of COVID-19 for Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Infection,32,https://clinicaltrials.gov/show/NCT04428073,NA
NCT04428099,ClinicalTrials.gov,2020-06-09,2020-01-13,TRUE,Recruiting,Not Applicable,Interventional,Spain,Healthy Lifestyle Promotion as Adjunctive Teletherapy for Treatment-resistant Major Depression,186,https://clinicaltrials.gov/show/NCT04428099,NA
NCT04429334,ClinicalTrials.gov,2020-05-29,2020-08-01,FALSE,Not Recruiting,Phase 2,Interventional,France,"Safety, Tolerability and Efficacy of Nangibotide in Mechanically Ventilated Patients With COVID-19 and Features of Systemic Inflammation",60,https://clinicaltrials.gov/show/NCT04429334,NA
NCT04429477,ClinicalTrials.gov,2020-06-09,2020-05-01,TRUE,Not Recruiting,Not Applicable,Observational,Brazil,Cerebral Compliance Impairment in COVID-19,50,https://clinicaltrials.gov/show/NCT04429477,NA
NCT04429594,ClinicalTrials.gov,2020-06-10,2020-07-28,FALSE,Recruiting,Not Applicable,Interventional,France,Study of the Incidence of SARS-CoV-2 Infection (COVID-19),1000,https://clinicaltrials.gov/show/NCT04429594,NA
NCT04429620,ClinicalTrials.gov,2020-06-10,2020-05-30,TRUE,Recruiting,Not Applicable,Observational,Hungary,Prospective Assay for SARS-CoV-2 (COVID-19) Antibody Detection Indirectly by Immunofluorescence: SARS-CoV2 IIF Method,100,https://clinicaltrials.gov/show/NCT04429620,NA
NCT04429711,ClinicalTrials.gov,2020-05-24,2020-05-12,TRUE,Recruiting,Not Applicable,Interventional,Israel,Ivermectin vs. Placebo for the Treatment of Patients With Mild to Moderate COVID-19,100,https://clinicaltrials.gov/show/NCT04429711,NA
NCT04429763,ClinicalTrials.gov,2020-06-10,2020-07-01,FALSE,Not Recruiting,Phase 2,Interventional,No Country Given,Safety and Efficacy of Mesenchymal Stem Cells in the Management of Severe COVID-19 Pneumonia,30,https://clinicaltrials.gov/show/NCT04429763,NA
NCT04429815,ClinicalTrials.gov,2020-06-11,2020-07-01,FALSE,Not Recruiting,Not Applicable,Observational,No Country Given,Impact of Smoking and Nicotine on the Risk of Being Infected With COVID-19,489,https://clinicaltrials.gov/show/NCT04429815,NA
NCT04429828,ClinicalTrials.gov,2020-06-11,2020-06-13,FALSE,Not Recruiting,Not Applicable,Interventional,No Country Given,COVID-19 Psychological Wellbeing for Healthcare Students,45,https://clinicaltrials.gov/show/NCT04429828,NA
NCT04429867,ClinicalTrials.gov,2020-06-10,2020-05-07,TRUE,Not Recruiting,Phase 4,Interventional,United States,Hydroxychloroquine Use in Hospitalized Patients With COVID-19: Impact on Progression to Severe or Critical Disease,700,https://clinicaltrials.gov/show/NCT04429867,NA
NCT04430062,ClinicalTrials.gov,2020-06-11,2020-05-01,TRUE,Not Recruiting,Not Applicable,Observational,Italy,Short-term Outcome of Covid-19 Surgical Patients: Case-series of a High-risk Area Community Hospital,14,https://clinicaltrials.gov/show/NCT04430062,NA
NCT04430322,ClinicalTrials.gov,2020-06-11,2020-03-01,TRUE,Recruiting,Not Applicable,Observational,France,Covid-19 at the Regional Medical Center Metz-Thionville: a Descriptive Study,330,https://clinicaltrials.gov/show/NCT04430322,NA
NCT04430374,ClinicalTrials.gov,2020-06-11,2020-06-02,TRUE,Recruiting,Not Applicable,Observational,Qatar,Registry for a Cardiovascular Patient Who COVID-19 Infection in Qatar and Gulf,100,https://clinicaltrials.gov/show/NCT04430374,NA
NCT04430608,ClinicalTrials.gov,2020-05-26,2020-05-25,TRUE,Recruiting,Not Applicable,Interventional,Denmark,Remote Continues Glucose Monitoring During the COVID-19 Pandemic in Quarantined Hospitalized Patients,72,https://clinicaltrials.gov/show/NCT04430608,NA
NCT04431180,ClinicalTrials.gov,2020-06-12,2020-06-13,FALSE,Recruiting,Not Applicable,Interventional,China,Recruit Blood Donors Via SMS During Epidemic of COVID-19 #Second Repeat Trial#,403535,https://clinicaltrials.gov/show/NCT04431180,NA
NCT04431310,ClinicalTrials.gov,2020-05-11,2020-03-27,TRUE,Recruiting,Not Applicable,Observational,Denmark,Seroconversion Among Staff at a Large Acute Care Hospital in Denmark During the COVID-19 Pandemic,300,https://clinicaltrials.gov/show/NCT04431310,NA
NCT04431466,ClinicalTrials.gov,2020-06-10,2020-07-01,FALSE,Recruiting,Phase 2,Interventional,Brazil,A Study to Compare the Efficacy and Safety of Different Doses of Ivermectin for COVID-19,64,https://clinicaltrials.gov/show/NCT04431466,NA
NCT04431869,ClinicalTrials.gov,2020-06-11,2020-08-18,FALSE,Recruiting,Not Applicable,Observational,United States,In-Utero Vascular Accidents in Neonates From COVID-19 Infected Mothers,200,https://clinicaltrials.gov/show/NCT04431869,NA
NCT04432051,ClinicalTrials.gov,2020-06-11,2020-05-26,TRUE,Recruiting,Not Applicable,Interventional,Turkey,The Use of Lung Ultrasonography in COVID-19 Patients,100,https://clinicaltrials.gov/show/NCT04432051,NA
NCT04432103,ClinicalTrials.gov,2020-06-12,2020-06-19,FALSE,Not Recruiting,Phase 3,Interventional,No Country Given,Treatment of Severe and Critical COVID-19 Pneumonia With Convalescent Plasma,36,https://clinicaltrials.gov/show/NCT04432103,NA
NCT04432766,ClinicalTrials.gov,2020-06-12,2020-10-20,FALSE,Not Recruiting,Phase 1/Phase 2,Interventional,United States,A Phase 1/2 Study to Assess Safety and Efficacy of BAT2020 in Hospitalized COVID-19 Patients,174,https://clinicaltrials.gov/show/NCT04432766,NA
NCT04432805,ClinicalTrials.gov,2020-06-15,2020-06-15,FALSE,Recruiting,Not Applicable,Interventional,France,Descriptive and Evaluation Study of the Use of Pulmonary Ultrasound in the Initial Management of Pregnant Women in the Context of COVID-19,160,https://clinicaltrials.gov/show/NCT04432805,NA
NCT04432948,ClinicalTrials.gov,2020-06-14,2020-05-15,TRUE,Recruiting,Not Applicable,Observational,Greece,Maternal Psychological Implications of Covid-19 Pandemic and Possible Effect on Anaesthetic Management.,200,https://clinicaltrials.gov/show/NCT04432948,NA
NCT04432961,ClinicalTrials.gov,2020-06-15,2020-07-01,FALSE,Not Recruiting,Not Applicable,Observational,No Country Given,Natural Language Processing (NLP) Analysis of Free Text Notes to Investigate Coronavirus (COVID-19),200,https://clinicaltrials.gov/show/NCT04432961,NA
NCT04432987,ClinicalTrials.gov,2020-06-15,2020-05-25,TRUE,Recruiting,Phase 2,Interventional,Turkey,Dornase Alpha for the Treatment of COVID-19,60,https://clinicaltrials.gov/show/NCT04432987,NA
NCT04433000,ClinicalTrials.gov,2020-06-12,2020-03-15,TRUE,Recruiting,Not Applicable,Observational,Italy,Reliability of a Pocket Sized Ultrasound Scanner in the Evaluation Covid-19 Pneumonia,34,https://clinicaltrials.gov/show/NCT04433000,NA
NCT04433013,ClinicalTrials.gov,2020-06-14,2020-07-01,FALSE,Not Recruiting,Phase 3,Interventional,No Country Given,A Randomized Controlled Trial Assessing the Efficacy of Lianhua Qingwen as an Adjuvant Treatment in Patients With Mild Symptoms of COVID-19,300,https://clinicaltrials.gov/show/NCT04433013,NA
NCT04433026,ClinicalTrials.gov,2020-06-14,2020-08-01,FALSE,Not Recruiting,Not Applicable,Observational,No Country Given,"BNP, Serum Troponin and D-dimer as Risk Factors in Patients With COVID-19",90,https://clinicaltrials.gov/show/NCT04433026,NA
NCT04433039,ClinicalTrials.gov,2020-06-14,2020-05-22,TRUE,Not Recruiting,Not Applicable,Observational,Egypt,COVID19 Versus H1N1: Radiological Challenge During Next Influenza Season Rising,130,https://clinicaltrials.gov/show/NCT04433039,NA
NCT04433260,ClinicalTrials.gov,2020-06-09,2020-07-25,FALSE,Recruiting,Not Applicable,Observational,United Kingdom,COVID19 and Physical and Emotional Wellbeing of HCP,1050,https://clinicaltrials.gov/show/NCT04433260,NA
NCT04433286,ClinicalTrials.gov,2020-06-10,2020-06-15,FALSE,Not Recruiting,Not Applicable,Observational,Egypt,COVID-19 - Implications on Surgeons' Burnout and Career Satisfaction,1000,https://clinicaltrials.gov/show/NCT04433286,NA
NCT04433312,ClinicalTrials.gov,2020-06-10,2020-07-01,FALSE,Not Recruiting,Not Applicable,Observational,Egypt,Impact of Cancellation of Non-urgent Surgical Cases on Patients During the COVID-19 Pandemic,10000,https://clinicaltrials.gov/show/NCT04433312,NA
NCT04433325,ClinicalTrials.gov,2020-06-12,2020-06-01,TRUE,Not Recruiting,Not Applicable,Observational,France,COVID-19 Critically Ill Patients' Evolution After Medical Transport by Train From Paris Intensive Care Units to West of France Intensive Care Units,150,https://clinicaltrials.gov/show/NCT04433325,NA
NCT04433754,ClinicalTrials.gov,2020-06-12,2020-03-01,TRUE,Not Recruiting,Not Applicable,Observational,Turkey,The Development of Pancreatic Injury in the Course of Severe Acute Respiratory Syndrome Coronavirus 2 Infection,500,https://clinicaltrials.gov/show/NCT04433754,NA
NCT04433871,ClinicalTrials.gov,2020-04-24,2020-04-27,FALSE,Recruiting,Not Applicable,Observational,France,COVID-19 in Pediatric Oncology and Hematology Centers in France,300,https://clinicaltrials.gov/show/NCT04433871,NA
NCT04433988,ClinicalTrials.gov,2020-06-13,2020-12-13,FALSE,Not Recruiting,Phase 1/Phase 2,Interventional,Egypt,Efficacy of Pentoxifylline as Add on Therapy in COVID19 Patients,200,https://clinicaltrials.gov/show/NCT04433988,NA
NCT04434014,ClinicalTrials.gov,2020-06-06,2020-06-08,FALSE,Recruiting,Not Applicable,Observational,Egypt,Proper Nutrition And Its Relation To Oral Diseases In Covid -19 Era,300,https://clinicaltrials.gov/show/NCT04434014,NA
NCT04434131,ClinicalTrials.gov,2020-06-09,2020-04-28,TRUE,Recruiting,Phase 2,Interventional,United States,Treatment With Investigational Convalescent Plasma and Measure Antibody Levels in Patients Hospitalized With COVID-19,30,https://clinicaltrials.gov/show/NCT04434131,NA
NCT04434144,ClinicalTrials.gov,2020-06-09,2020-05-02,TRUE,Not Recruiting,Not Applicable,Observational,Bangladesh,A Comparative Study on Ivermectin and Hydroxychloroquine on the COVID19 Patients in Bangladesh,116,https://clinicaltrials.gov/show/NCT04434144,NA
NCT04434157,ClinicalTrials.gov,2020-06-12,2020-03-28,TRUE,Not Recruiting,Not Applicable,Observational,Mexico,Association of the Neutrophil/Lymphocyte Ratio With Clinical Complications and Mortality in COVID-19 Patients,221,https://clinicaltrials.gov/show/NCT04434157,NA
NCT04434248,ClinicalTrials.gov,2020-06-13,2020-04-23,TRUE,Not Recruiting,Phase 2/Phase 3,Interventional,Russian Federation,An Adaptive Study of Favipiravir Compared to Standard of Care in Hospitalized Patients With COVID-19,330,https://clinicaltrials.gov/show/NCT04434248,NA
NCT04434417,ClinicalTrials.gov,2020-06-09,2020-04-15,TRUE,Recruiting,Not Applicable,Observational,Italy,Validation of an Immunochromatographic Assay for IgG/IgM Antibodies to 2019- nCoV,1000,https://clinicaltrials.gov/show/NCT04434417,NA
NCT04435015,ClinicalTrials.gov,2020-06-16,2021-02-01,FALSE,Not Recruiting,Phase 1/Phase 2,Interventional,No Country Given,The Utility of Camostat Mesylate in Patients With COVID-19 Associated Coagulopathy (CAC) and Cardiovascular Complications,200,https://clinicaltrials.gov/show/NCT04435015,NA
NCT04435028,ClinicalTrials.gov,2020-06-15,2019-01-14,TRUE,Not Recruiting,Not Applicable,Observational,Egypt,Ketotifen: as a Cardioprotective Agent in Breast Cancer Patients Receiving Anthracycline-containing Chemotherapy,111,https://clinicaltrials.gov/show/NCT04435028,NA
NCT04435041,ClinicalTrials.gov,2020-06-16,2020-06-01,TRUE,Not Recruiting,Not Applicable,Observational,United Kingdom,Remote-by-Default Care in the COVID-19 Pandemic,1,https://clinicaltrials.gov/show/NCT04435041,NA
NCT04435080,ClinicalTrials.gov,2020-06-15,2020-03-15,TRUE,Not Recruiting,Not Applicable,Observational,Turkey,Physical Rehabilitation in ICU in ARDS Patients With COVID-19,35,https://clinicaltrials.gov/show/NCT04435080,NA
NCT04435106,ClinicalTrials.gov,2020-05-26,2020-04-03,TRUE,Not Recruiting,Not Applicable,Observational,Israel,Compassionate Use of Opaganib in Patients With Coronavirus Disease 2019 (COVID-19),23,https://clinicaltrials.gov/show/NCT04435106,NA
NCT04435119,ClinicalTrials.gov,2020-06-12,2020-03-15,TRUE,Not Recruiting,Not Applicable,Observational,France,Covid-19 and Vitamin D in Nursing-home,96,https://clinicaltrials.gov/show/NCT04435119,NA
NCT04435223,ClinicalTrials.gov,2020-06-16,2020-04-07,TRUE,Not Recruiting,Not Applicable,Observational,France,Lipid Metabolism in COVID-19 Severe Pneumonia Compared With Severe Pneumonia Caused by Other Pathogen,62,https://clinicaltrials.gov/show/NCT04435223,NA
NCT04435314,ClinicalTrials.gov,2020-06-08,2020-06-01,TRUE,Not Recruiting,Phase 2,Interventional,No Country Given,Efficacy and Safety of Nitazoxanide for Post Exposure Prophylaxis of COVID-19,200,https://clinicaltrials.gov/show/NCT04435314,NA
NCT04435327,ClinicalTrials.gov,2020-06-12,2020-08-17,FALSE,Recruiting,Not Applicable,Observational,Italy,Lung Damage Caused by SARS-CoV-2 Pneumonia (COVID-19),300,https://clinicaltrials.gov/show/NCT04435327,NA
NCT04435353,ClinicalTrials.gov,2020-06-14,2020-03-22,TRUE,Recruiting,Not Applicable,Interventional,Kazakhstan,Assessment of the Effectiveness of Vibroacoustic Therapy for Respiratory Failure Caused by COVID 19,200,https://clinicaltrials.gov/show/NCT04435353,NA
NCT04435717,ClinicalTrials.gov,2020-06-11,2020-05-04,TRUE,Recruiting,Phase 2,Interventional,Spain,Efficacy of Tocilizumab in Modifying the Inflammatory Parameters of Patients With COVID-19 (COVITOZ-01),78,https://clinicaltrials.gov/show/NCT04435717,NA
NCT04435808,ClinicalTrials.gov,2020-06-04,2020-04-14,TRUE,Not Recruiting,Phase 1/Phase 2,Interventional,United States,Efficacy of Hydroxychloroquine Prophylaxis for Health Care Workers at High Risk for COVID-19,1,https://clinicaltrials.gov/show/NCT04435808,NA
NCT04436471,ClinicalTrials.gov,2020-06-16,2020-06-17,FALSE,Not Recruiting,Phase 1/Phase 2,Interventional,Russian Federation,"An Open Study of the Safety, Tolerability and Immunogenicity of the Drug ""Gam-COVID-Vac"" Vaccine Against COVID-19",38,https://clinicaltrials.gov/show/NCT04436471,NA
NCT04437121,ClinicalTrials.gov,2020-06-15,2020-04-30,TRUE,Not Recruiting,Not Applicable,Observational,Greece,Dietary and Lifestyle Habits During the Pandemic of COVID-19 in Greece,397,https://clinicaltrials.gov/show/NCT04437121,NA
NCT04437693,ClinicalTrials.gov,2020-06-17,2020-08-31,FALSE,Not Recruiting,Phase 2/Phase 3,Interventional,No Country Given,Post Exposure Prophylaxis in Healthcare Workers Exposed to COVID-19 Patients,500,https://clinicaltrials.gov/show/NCT04437693,NA
NCT04437706,ClinicalTrials.gov,2020-06-17,2020-12-15,FALSE,Not Recruiting,Not Applicable,Observational,United States,Network-Targeted Strategies for Efficient Community SARS-CoV-2 (COVID-19) Sampling,200,https://clinicaltrials.gov/show/NCT04437706,NA
NCT04437719,ClinicalTrials.gov,2020-06-17,2020-06-29,FALSE,Recruiting,Not Applicable,Interventional,France,"Prospective Cohort Study to Describe the Clinical Characteristics of COVID-19, the Acquired Immune Response and the Biological and Clinical Parameters of Patients Followed in Oncology by the Saint-Joseph Hospital Group for a Period of 6 Months During the COVID-19 Pandemic",100,https://clinicaltrials.gov/show/NCT04437719,NA
NCT04437823,ClinicalTrials.gov,2020-06-17,2020-06-01,TRUE,Recruiting,Phase 2,Interventional,Pakistan,Efficacy of Intravenous Infusions of Stem Cells in the Treatment of COVID-19 Patients,20,https://clinicaltrials.gov/show/NCT04437823,NA
NCT04437875,ClinicalTrials.gov,2020-06-16,2020-06-17,FALSE,Not Recruiting,Phase 1/Phase 2,Interventional,Russian Federation,"An Open Study of the Safety, Tolerability and Immunogenicity of ""Gam-COVID-Vac Lyo"" Vaccine Against COVID-19",38,https://clinicaltrials.gov/show/NCT04437875,NA
NCT04437901,ClinicalTrials.gov,2020-05-28,2020-06-01,FALSE,Not Recruiting,Not Applicable,Observational,"United Kingdom, Belgium, Netherlands, Italy, Spain",COVIDAR - Arrhythmias in COVID-19,10000,https://clinicaltrials.gov/show/NCT04437901,NA
NCT04438057,ClinicalTrials.gov,2020-06-17,2020-08-12,FALSE,Recruiting,Phase 2,Interventional,United States,Evaluating the Efficacy of Convalescent Plasma in Symptomatic Outpatients Infected With COVID-19,150,https://clinicaltrials.gov/show/NCT04438057,NA
NCT04438070,ClinicalTrials.gov,2020-06-17,2020-04-10,TRUE,Recruiting,Not Applicable,Interventional,Canada,COVID Screening Strategies in Homeless Shelters,400,https://clinicaltrials.gov/show/NCT04438070,NA
NCT04438629,ClinicalTrials.gov,2020-06-16,2020-03-26,TRUE,Recruiting,Not Applicable,Observational,Italy,Evaluation of Immune Response in COVID-19 Patients,80,https://clinicaltrials.gov/show/NCT04438629,NA
NCT04438694,ClinicalTrials.gov,2020-06-16,2020-06-01,TRUE,Recruiting,Phase 1/Phase 2,Interventional,Egypt,Assessment of the Effect of Convalescent Plasma Therapy in Patients With Life-threatening COVID19 Infection,67,https://clinicaltrials.gov/show/NCT04438694,NA
NCT04438837,ClinicalTrials.gov,2020-06-18,2020-07-01,FALSE,Not Recruiting,Not Applicable,Interventional,Israel,Hydroxychloroquine Post-Exposure Prophylaxis for Coronavirus Disease (COVID-19) Among Health-Care Workers,582,https://clinicaltrials.gov/show/NCT04438837,NA
NCT04438941,ClinicalTrials.gov,2020-06-17,2020-03-25,TRUE,Recruiting,Not Applicable,Observational,France,Contribution of a Prone Team in Intensive Care During the Covid-19 Epidemic,100,https://clinicaltrials.gov/show/NCT04438941,NA
