id,trn,type,control_type,placebo_plus_soc,category,intervention,intervention_plus_soc
tri02448,NCT04322123,experimental,NA,NA,drug,Azithromycin;Hydroxychloroquine,undefined_soc
tri02448,NCT04322123,control,undefined_soc,NA,NA,NA,NA
tri03163,NCT04429854,experimental,NA,NA,biologics,Convalescent Plasma,undefined_soc
tri03163,NCT04429854,control,undefined_soc,NA,NA,NA,NA
tri00249,ChiCTR2000030013,experimental,NA,NA,biologics,Interferon Alpha (Any),no
tri01161,NCT04358406,experimental,NA,NA,biologics,Recombinant human plasma gelsolin (Rhu-pGSN),no
tri01161,NCT04358406,control,placebo,no,NA,NA,NA
tri01290,NCT04351191,experimental,NA,NA,drug,Hydroxychloroquine,no
tri01290,NCT04351191,experimental,NA,NA,drug,Hydroxychloroquine,no
tri01290,NCT04351191,experimental,NA,NA,drug,Chloroquine,no
tri01290,NCT04351191,control,placebo,undefined_soc,NA,NA,NA
tri03747,NCT04348305,experimental,NA,NA,drug,Hydrocortisone,undefined_soc
tri03747,NCT04348305,control,placebo,undefined_soc,NA,NA,NA
tri06144,NCT04528368,experimental,NA,NA,biologics,Convalescent Plasma,undefined_soc
tri06144,NCT04528368,control,placebo,undefined_soc,NA,NA,NA
tri02539,NCT04411433,experimental,NA,NA,drug,Favipiravir,no
tri02539,NCT04411433,experimental,NA,NA,drug,Favipiravir,no
tri02539,NCT04411433,experimental,NA,NA,drug,Favipiravir;Hydroxychloroquine,no
tri02539,NCT04411433,experimental,NA,NA,drug,Azithromycin;Favipiravir,no
tri02539,NCT04411433,experimental,NA,NA,drug,Hydroxychloroquine,no
tri02539,NCT04411433,experimental,NA,NA,drug,Azithromycin;Hydroxychloroquine,no
tri02973,NCT04403100,experimental,NA,NA,drug,Hydroxychloroquine,no
tri02973,NCT04403100,experimental,NA,NA,drug,Lopinavir;Ritonavir,no
tri02973,NCT04403100,experimental,NA,NA,drug,Hydroxychloroquine;Lopinavir;Ritonavir,no
tri02973,NCT04403100,control,placebo,no,NA,NA,NA
tri05356,NCT04347031,experimental,NA,NA,drug,Mefloquine,no
tri05356,NCT04347031,experimental,NA,NA,drug,Hydroxychloroquine,no
tri05356,NCT04347031,experimental,NA,NA,drug,Azithromycin;Tocilizumab;Mefloquine,no
tri05356,NCT04347031,experimental,NA,NA,drug,Azithromycin;Hydroxychloroquine;Tocilizumab,no
tri02535,NCT04410562,experimental,NA,NA,drug,Hydroxychloroquine,no
tri02535,NCT04410562,control,placebo,no,NA,NA,NA
tri04045,ISRCTN74727214,experimental,NA,NA,drug,Anakinra,no
tri01909,NCT04364009,experimental,NA,NA,drug,Anakinra,undefined_soc
tri01909,NCT04364009,control,undefined_soc,NA,NA,NA,NA
tri06786,NCT04622826,experimental,NA,NA,biologics,Convalescent Plasma,no
tri06716,NCT04610541,experimental,NA,NA,drug,Remdesivir,no
tri06329,NCT04551755,experimental,NA,NA,drug,Doxycycline;Ivermectin,defined_soc
tri06329,NCT04551755,control,placebo,defined_soc,NA,NA,NA
tri06132,NCT04527211,experimental,NA,NA,drug,Ivermectin,no
tri06132,NCT04527211,control,placebo,no,NA,NA,NA
tri03624,NCT04445467,experimental,NA,NA,drug,Favipiravir,undefined_soc
tri03624,NCT04445467,control,placebo,undefined_soc,NA,NA,NA
tri03587,NCT04443725,experimental,NA,NA,drug,Daclatasvir;Sofosbuvir,defined_soc
tri03587,NCT04443725,control,defined_soc,NA,NA,NA,NA
tri03536,NCT04438057,experimental,NA,NA,biologics,Convalescent Plasma,no
tri03536,NCT04438057,control,undefined_soc,NA,NA,NA,NA
tri02080,NCT04392713,experimental,NA,NA,drug,Ivermectin,defined_soc
tri02080,NCT04392713,control,defined_soc,NA,NA,NA,NA
tri02078,NCT04392427,experimental,NA,NA,drug,Ivermectin;Nitazoxanide;Ribavirin,no
tri02078,NCT04392427,control,no_treatment,NA,NA,NA,NA
tri02141,NCT04392232,experimental,NA,NA,biologics,Convalescent Plasma,no
tri02136,NCT04390022,experimental,NA,NA,drug,Ivermectin,no
tri02136,NCT04390022,control,placebo,no,NA,NA,NA
tri01479,NCT04374903,experimental,NA,NA,drug,Azithromycin;Hydroxychloroquine,no
tri01479,NCT04374903,experimental,NA,NA,drug,Hydroxychloroquine;Sirolimus,no
tri01468,NCT04373824,experimental,NA,NA,drug,Ivermectin,undefined_soc
tri01468,NCT04373824,control,undefined_soc,NA,NA,NA,NA
tri01365,NCT04369365,experimental,NA,NA,drug,Azithromycin,no
tri01365,NCT04369365,control,placebo,no,NA,NA,NA
tri01435,NCT04361032,experimental,NA,NA,drug,Tocilizumab,undefined_soc
tri01435,NCT04361032,experimental,NA,NA,drug,Deferoxamine,undefined_soc
tri01428,NCT04354597,experimental,NA,NA,drug,Azithromycin;Hydroxychloroquine,no
tri01428,NCT04354597,control,no_treatment,NA,NA,NA,NA
tri01292,NCT04353271,experimental,NA,NA,drug,Hydroxychloroquine,no
tri01292,NCT04353271,control,placebo,no,NA,NA,NA
tri01127,NCT04352946,experimental,NA,NA,drug,Hydroxychloroquine,no
tri01127,NCT04352946,control,placebo,no,NA,NA,NA
tri01010,NCT04351620,experimental,NA,NA,drug,Hydroxychloroquine,no
tri02570,NCT04345276,experimental,NA,NA,drug,Danoprevir;Ritonavir,NA
tri02458,NCT04344951,experimental,NA,NA,drug,Chloroquine,no
tri02457,NCT04344600,experimental,NA,NA,drug,Interferon Lambda (Any),no
tri02457,NCT04344600,control,placebo,no,NA,NA,NA
tri01285,NCT04344457,experimental,NA,NA,drug,Azithromycin;Hydroxychloroquine;Indometacin,no
tri03039,NCT04344288,experimental,NA,NA,drug,Prednisone,no
tri03039,NCT04344288,control,undefined_soc,NA,NA,NA,NA
tri00789,NCT04341038,experimental,NA,NA,drug,Methylprednisolone;Tacrolimus,undefined_soc
tri00789,NCT04341038,control,undefined_soc,NA,NA,NA,NA
tri02937,NCT04335305,experimental,NA,NA,multiple,Pembrolizumab;Tocilizumab,undefined_soc
tri02937,NCT04335305,control,undefined_soc,NA,NA,NA,NA
tri00753,NCT04331470,experimental,NA,NA,drug,Budesonide;Formoterol;Levamisol,defined_soc
tri00753,NCT04331470,control,defined_soc,NA,NA,NA,NA
tri00668,NCT04328272,experimental,NA,NA,drug,Hydroxychloroquine,no
tri00668,NCT04328272,experimental,NA,NA,drug,Azithromycin;Hydroxychloroquine,no
tri00668,NCT04328272,control,placebo,no,NA,NA,NA
tri02324,NCT04321421,experimental,NA,NA,biologics,Convalescent Plasma,no
tri00327,NCT04293887,experimental,NA,NA,biologics,Interferon Alpha (Any),undefined_soc
tri00327,NCT04293887,control,undefined_soc,NA,NA,NA,NA
tri01795,NCT04273321,experimental,NA,NA,drug,Methylprednisolone,no
tri01795,NCT04273321,control,no_treatment,NA,NA,NA,NA
tri01030,NCT04355247,experimental,NA,NA,drug,Methylprednisolone,no
tri01029,NCT04355026,experimental,NA,NA,drug,Bromhexine,defined_soc
tri01029,NCT04355026,control,defined_soc,NA,NA,NA,NA
tri03309,NCT04346355,experimental,NA,NA,biologics,Tocilizumab,undefined_soc
tri03309,NCT04346355,experimental,NA,NA,biologics,Tocilizumab,undefined_soc
tri02571,NCT04345692,experimental,NA,NA,drug,Hydroxychloroquine,no
tri02571,NCT04345692,control,undefined_soc,NA,NA,NA,NA
tri00960,NCT04345445,experimental,NA,NA,biologics,Tocilizumab,no
tri00960,NCT04345445,experimental,NA,NA,drug,Methylprednisolone,no
tri00781,NCT04338698,experimental,NA,NA,drug,Hydroxychloroquine,undefined_soc
tri00781,NCT04338698,experimental,NA,NA,drug,Azithromycin,undefined_soc
tri00781,NCT04338698,experimental,NA,NA,drug,Oseltamivir,undefined_soc
tri00781,NCT04338698,experimental,NA,NA,drug,Hydroxychloroquine;Oseltamivir,undefined_soc
tri00781,NCT04338698,experimental,NA,NA,drug,Azithromycin;Hydroxychloroquine,undefined_soc
tri00781,NCT04338698,experimental,NA,NA,drug,Azithromycin;Oseltamivir,undefined_soc
tri00781,NCT04338698,experimental,NA,NA,drug,Azithromycin;Hydroxychloroquine;Oseltamivir,undefined_soc
tri00781,NCT04338698,control,undefined_soc,NA,NA,NA,NA
tri01099,NCT04332835,experimental,NA,NA,biologics,Convalescent Plasma,undefined_soc
tri01099,NCT04332835,control,undefined_soc,NA,NA,NA,NA
tri00744,NCT04322773,control,undefined_soc,NA,NA,NA,NA
tri00744,NCT04322773,experimental,NA,NA,biologics,Sarilumab,undefined_soc
tri00744,NCT04322773,experimental,NA,NA,biologics,Tocilizumab,undefined_soc
tri00744,NCT04322773,experimental,NA,NA,biologics,Tocilizumab,undefined_soc
tri00901,NCT04318015,experimental,NA,NA,drug,Hydroxychloroquine,no
tri00901,NCT04318015,control,placebo,no,NA,NA,NA
tri00894,NCT04257656,control,placebo,no,NA,NA,NA
tri00894,NCT04257656,experimental,NA,NA,drug,Remdesivir,no
tri00328,NCT04295551,experimental,NA,NA,traditional_medicine,Traditional Medicine,defined_soc
tri00328,NCT04295551,control,defined_soc,NA,NA,NA,NA
tri01275,NCT04273763,experimental,NA,NA,drug,Bromhexine,defined_soc
tri01275,NCT04273763,control,defined_soc,NA,NA,NA,NA
tri00535,NCT04255017,experimental,NA,NA,drug,Umifenovir (Arbidol),no
tri00535,NCT04255017,experimental,NA,NA,drug,Lopinavir;Ritonavir,no
tri00535,NCT04255017,experimental,NA,NA,drug,Oseltamivir,no
tri00535,NCT04255017,control,undefined_soc,NA,NA,NA,NA
tri01482,NCT04251871,experimental,NA,NA,traditional_medicine,Traditional Medicine,defined_soc
tri01482,NCT04251871,control,defined_soc,NA,NA,NA,NA
tri00632,ChiCTR2000031501,experimental,NA,NA,biologics,Convalescent Plasma,undefined_soc
tri00632,ChiCTR2000031501,control,undefined_soc,NA,NA,NA,NA
tri01081,EUCTR2020-001417-21,experimental,NA,NA,drug,Hydroxychloroquine,undefined_soc
tri01081,EUCTR2020-001417-21,control,undefined_soc,NA,NA,NA,NA
tri02421,ChiCTR2000033627,experimental,NA,NA,drug,Ivermectin,no
tri02421,ChiCTR2000033627,control,placebo,no,NA,NA,NA
tri01597,ChiCTR2000029638,experimental,NA,NA,biologics,Interferon Alpha (Any),defined_soc
tri01597,ChiCTR2000029638,experimental,NA,NA,biologics,Interferon Alpha (Any),defined_soc
tri01249,ChiCTR2000032487,experimental,NA,NA,drug,Hydroxychloroquine,no
tri01249,ChiCTR2000032487,control,placebo,no,NA,NA,NA
tri00513,ChiCTR2000030922,experimental,NA,NA,biologics,Interferon Alpha (Any),defined_soc
tri00513,ChiCTR2000030922,experimental,NA,NA,drug,Umifenovir (Arbidol),defined_soc
tri00424,ChiCTR2000030703,experimental,NA,NA,biologics,Ixekizumab,defined_soc
tri00424,ChiCTR2000030703,control,defined_soc,NA,NA,NA,NA
tri03467,NCT04426695,experimental,NA,NA,biologics,Casirivimab;Imdevimab,no
tri02225,EUCTR2020-001536-98,experimental,NA,NA,drug,Hydroxychloroquine,no
tri02225,EUCTR2020-001536-98,control,no_treatment,NA,NA,NA,NA
tri01592,ChiCTR2000032915,experimental,NA,NA,drug,Artemisine;Piperaquine,no
tri01592,ChiCTR2000032915,control,undefined_soc,NA,NA,NA,NA
tri00862,IRCT20190727044343N1,experimental,NA,NA,drug,Febuxostat;Paracetamol,no
tri00862,IRCT20190727044343N1,experimental,NA,NA,drug,Hydroxychloroquine;Paracetamol,no
tri02451,NCT04329832,experimental,NA,NA,drug,Hydroxychloroquine,no
tri02451,NCT04329832,experimental,NA,NA,drug,Azithromycin,no
tri02559,NCT04327401,experimental,NA,NA,drug,Dexamethasone,undefined_soc
tri02559,NCT04327401,control,undefined_soc,NA,NA,NA,NA
tri00904,NCT04321174,experimental,NA,NA,drug,Lopinavir;Ritonavir,no
tri00904,NCT04321174,control,no_treatment,NA,NA,NA,NA
tri02322,NCT04307693,experimental,NA,NA,drug,Lopinavir;Ritonavir,undefined_soc
tri02322,NCT04307693,experimental,NA,NA,drug,Hydroxychloroquine,undefined_soc
tri02322,NCT04307693,control,no_treatment,NA,NA,NA,NA
tri00735,NCT04291729,experimental,NA,NA,drug,Danoprevir;Interferon Beta (Any);Ritonavir,no
tri03451,NCT04420247,experimental,NA,NA,drug,Hydroxychloroquine,undefined_soc
tri01545,NCT04376788,experimental,NA,NA,multiple,Blood Transfusion;Convalescent Plasma;Methylene Blue,no
tri01545,NCT04376788,experimental,NA,NA,multiple,Convalescent Plasma;Methylene Blue,NA
tri00893,NCT04252664,experimental,NA,NA,drug,Remdesivir,no
tri00893,NCT04252664,control,placebo,no,NA,NA,NA
tri02778,IRCT20200318046812N1,experimental,NA,NA,drug,Favipiravir,defined_soc
tri02778,IRCT20200318046812N1,experimental,NA,NA,drug,Lopinavir;Ritonavir,defined_soc
tri00722,EUCTR2020-001333-13,experimental,NA,NA,drug,Dexamethasone,defined_soc
tri00722,EUCTR2020-001333-13,control,defined_soc,NA,NA,NA,NA
tri03173,ISRCTN21363594,experimental,NA,NA,procedure,Therapeutic plasma exchange,undefined_soc
tri03173,ISRCTN21363594,control,undefined_soc,NA,NA,NA,NA
tri01987,ISRCTN85216856,experimental,NA,NA,biologics,Convalescent Plasma,undefined_soc
tri01987,ISRCTN85216856,control,placebo,undefined_soc,NA,NA,NA
tri01263,ChiCTR2000031174,experimental,NA,NA,drug,Hydroxychloroquine,no
tri01263,ChiCTR2000031174,control,placebo,no,NA,NA,NA
tri00585,ChiCTR2000031196,experimental,NA,NA,drug,Lopinavir;Ritonavir,no
tri00585,ChiCTR2000031196,control,undefined_soc,NA,NA,NA,NA
tri00453,ChiCTR2000030187,experimental,NA,NA,drug,Lopinavir;Ritonavir,no
tri00453,ChiCTR2000030187,control,undefined_soc,NA,NA,NA,NA
tri00157,ChiCTR2000030010,experimental,NA,NA,biologics,Convalescent Plasma,no
tri00157,ChiCTR2000030010,control,placebo,no,NA,NA,NA
tri00139,ChiCTR2000030054,experimental,NA,NA,drug,Hydroxychloroquine,no
tri00139,ChiCTR2000030054,experimental,NA,NA,drug,Chloroquine,no
tri00139,ChiCTR2000030054,control,undefined_soc,NA,NA,NA,NA
tri00084,ChiCTR2000029542,experimental,NA,NA,drug,Chloroquine,no
tri00084,ChiCTR2000029542,control,undefined_soc,NA,NA,NA,NA
tri00056,ChiCTR2000029741,experimental,NA,NA,drug,Chloroquine,no
tri00056,ChiCTR2000029741,experimental,NA,NA,drug,Lopinavir;Ritonavir,no
tri00249,ChiCTR2000030013,control,no_treatment,NA,NA,NA,NA
tri00170,ChiCTR2000029992,experimental,NA,NA,drug,Chloroquine,no
tri00170,ChiCTR2000029992,experimental,NA,NA,drug,Hydroxychloroquine,no
tri00170,ChiCTR2000029992,control,undefined_soc,NA,NA,NA,NA
tri07063,NCT04634409,experimental,NA,NA,biologics,Bamlanivimab;Etesevimab,no
tri07063,NCT04634409,experimental,NA,NA,biologics,Bamlanivimab,no
tri07063,NCT04634409,control,placebo,no,NA,NA,NA
tri07063,NCT04634409,experimental,NA,NA,biologics,Bamlanivimab;Sotrovimab,no
tri07063,NCT04634409,experimental,NA,NA,biologics,LY3853113,no
tri07063,NCT04634409,experimental,NA,NA,biologics,Bamlanivimab;Etesevimab;LY3853113,no
tri03481,NCT04432298,experimental,NA,NA,biologics,Pamrevlumab,no
tri03481,NCT04432298,control,placebo,no,NA,NA,NA
tri01882,NCT04334148,experimental,NA,NA,drug,Hydroxychloroquine,no
tri01882,NCT04334148,control,placebo,no,NA,NA,NA
tri06870,NCT04635943,experimental,NA,NA,drug,Ivermectin,no
tri06870,NCT04635943,control,placebo,no,NA,NA,NA
tri01505,NCT04355637,experimental,NA,NA,drug,Budesonide,no
tri01505,NCT04355637,control,undefined_soc,NA,NA,NA,NA
tri07114,NCT04652648,experimental,NA,NA,drug,Hydroxychloroquine,no
tri07114,NCT04652648,control,no_treatment,NA,NA,NA,NA
tri06671,NCT04603729,experimental,NA,NA,drug,Dexamethasone,no
tri06671,NCT04603729,experimental,NA,NA,drug,Methylprednisolone,no
tri06592,NCT04591600,experimental,NA,NA,drug,Doxycycline;Ivermectin,defined_soc
tri06592,NCT04591600,control,defined_soc,NA,NA,NA,NA
tri06158,NCT04530370,experimental,NA,NA,biologics,Convalescent Plasma,no
tri06158,NCT04530370,control,placebo,no,NA,NA,NA
tri03522,NCT04435808,experimental,NA,NA,drug,Hydroxychloroquine,no
tri03522,NCT04435808,control,no_treatment,NA,NA,NA,NA
tri03270,NCT04434131,experimental,NA,NA,biologics,Convalescent Plasma,no
tri02513,NCT04408456,experimental,NA,NA,drug,Hydroxychloroquine,undefined_soc
tri02513,NCT04408456,control,undefined_soc,NA,NA,NA,NA
tri03081,NCT04391127,experimental,NA,NA,drug,Hydroxychloroquine,defined_soc
tri03081,NCT04391127,control,placebo,defined_soc,NA,NA,NA
tri05396,NCT04383717,experimental,NA,NA,drug,Isoprinosin;Levamisol,no
tri05396,NCT04383717,experimental,NA,NA,drug,Azithromycin;Hydroxychloroquine,no
tri03380,NCT04380818,experimental,NA,NA,procedure,Radiation,defined_soc
tri03380,NCT04380818,control,defined_soc,NA,NA,NA,NA
tri02942,NCT04346589,experimental,NA,NA,biologics,Convalescent Plasma,no
tri05347,NCT04336748,experimental,NA,NA,drug,Hydroxychloroquine,no
tri05347,NCT04336748,control,placebo,no,NA,NA,NA
tri00732,NCT04261517,experimental,NA,NA,drug,Hydroxychloroquine,no
tri00732,NCT04261517,control,undefined_soc,NA,NA,NA,NA
tri03053,NCT04356495,experimental,NA,NA,nutritional_supplement,Vitamins (unspecified),no
tri03053,NCT04356495,experimental,NA,NA,drug,Telmisartan,no
tri03053,NCT04356495,experimental,NA,NA,drug,Ciclesonide,no
tri03053,NCT04356495,experimental,NA,NA,drug,Interferon Beta (Any),no
tri03730,NL8490,experimental,NA,NA,drug,Hydroxychloroquine,undefined_soc
tri03730,NL8490,control,undefined_soc,NA,NA,NA,NA
tri10032,RPCEC00000361,experimental,NA,NA,biologics,itolizumab,no
tri03678,ISRCTN86534580,control,undefined_soc,NA,NA,NA,NA
tri03678,ISRCTN86534580,experimental,NA,NA,drug,Favipiravir,undefined_soc
tri03678,ISRCTN86534580,experimental,NA,NA,drug,Colchicine,undefined_soc
tri03678,ISRCTN86534580,experimental,NA,NA,drug,Budesonide,undefined_soc
tri03678,ISRCTN86534580,experimental,NA,NA,drug,Azithromycin,undefined_soc
tri03678,ISRCTN86534580,experimental,NA,NA,drug,Doxycycline,undefined_soc
tri03678,ISRCTN86534580,experimental,NA,NA,drug,Ivermectin,undefined_soc
tri03678,ISRCTN86534580,experimental,NA,NA,drug,Hydroxychloroquine,undefined_soc
tri01395,ChiCTR2000032635,experimental,NA,NA,traditional_medicine,Traditional Medicine,defined_soc
tri01395,ChiCTR2000032635,control,placebo,defined_soc,NA,NA,NA
tri03017,NCT04423042,experimental,NA,NA,biologics,Tocilizumab,no
tri03017,NCT04423042,control,no_treatment,NA,NA,NA,NA
tri07753,NCT04746365,experimental,NA,NA,drug,Ivermectin,no
tri07753,NCT04746365,experimental,NA,NA,drug,Hydroxychloroquine,no
tri07753,NCT04746365,control,undefined_soc,NA,NA,NA,NA
tri07946,NCT04681053,experimental,NA,NA,drug,Ivermectin,undefined_soc
tri07946,NCT04681053,experimental,NA,NA,drug,Ivermectin,undefined_soc
tri07946,NCT04681053,experimental,NA,NA,drug,Ivermectin,undefined_soc
tri07946,NCT04681053,control,undefined_soc,NA,NA,NA,NA
tri02927,TCTR20200409006,experimental,NA,NA,device,Blood Filtratration,undefined_soc
tri02927,TCTR20200409006,control,undefined_soc,NA,NA,NA,NA
tri10034,RPCEC00000366,experimental,NA,NA,vaccine_covid,FINLAY-FR-1A (Seberana Plus),no
tri10034,RPCEC00000366,control,placebo,no,NA,NA,NA
tri10022,RPCEC00000349,experimental,NA,NA,vaccine_covid,FINLAY-FR-1A,no
tri04434,PACTR202010718451278,experimental,NA,NA,drug,Hydroxychloroquine,no
tri04434,PACTR202010718451278,experimental,NA,NA,drug,Lopinavir;Ritonavir,no
tri04434,PACTR202010718451278,control,defined_soc,NA,NA,NA,NA
tri04429,PACTR202009483194545,experimental,NA,NA,traditional_medicine,Traditional Medicine,no
tri04429,PACTR202009483194545,experimental,NA,NA,traditional_medicine,Traditional Medicine,no
tri04429,PACTR202009483194545,experimental,NA,NA,traditional_medicine,Traditional Medicine,no
tri04429,PACTR202009483194545,experimental,NA,NA,traditional_medicine,Traditional Medicine,no
tri04429,PACTR202009483194545,control,defined_soc,NA,NA,NA,NA
tri04415,PACTR202010519682638,experimental,NA,NA,drug,Azithromycin;Hydroxychloroquine;Zinc (Any),no
tri04415,PACTR202010519682638,experimental,NA,NA,drug,Lopinavir;Ritonavir,no
tri04415,PACTR202010519682638,control,defined_soc,NA,NA,NA,NA
tri10222,NCT04931238,experimental,NA,NA,biologics,JS016,undefined_soc
tri10222,NCT04931238,control,undefined_soc,NA,NA,NA,NA
tri03726,NL8633,experimental,NA,NA,biologics,Convalescent Plasma,no
tri03726,NL8633,control,placebo,no,NA,NA,NA
tri06853,NCT04632706,experimental,NA,NA,drug,Ivermectin,no
tri06853,NCT04632706,experimental,NA,NA,drug,Ivermectin,no
tri06853,NCT04632706,experimental,NA,NA,drug,Ivermectin,no
tri06853,NCT04632706,control,placebo,no,NA,NA,NA
tri06494,NCT04577534,experimental,NA,NA,biologics,Tocilizumab,no
tri06494,NCT04577534,control,undefined_soc,NA,NA,NA,NA
tri10117,NCT04546581,experimental,NA,NA,biologics,Convalescent Plasma,defined_soc
tri10117,NCT04546581,control,placebo,defined_soc,NA,NA,NA
tri03138,NCT04425915,experimental,NA,NA,biologics,Convalescent Plasma,undefined_soc
tri03138,NCT04425915,control,undefined_soc,NA,NA,NA,NA
tri09750,NCT04858633,experimental,NA,NA,drug,Hydroxychloroquine,undefined_soc
tri09750,NCT04858633,control,placebo,undefined_soc,NA,NA,NA
tri02771,SLCTR/2020/011,experimental,NA,NA,drug,Hydroxychloroquine,no
tri02771,SLCTR/2020/011,control,placebo,no,NA,NA,NA
tri02886,PACTR202004893013257,experimental,NA,NA,drug,Hydroxychloroquine,no
tri02886,PACTR202004893013257,experimental,NA,NA,drug,Lopinavir;Ritonavir,no
tri02886,PACTR202004893013257,experimental,NA,NA,drug,Hydroxychloroquine;Lopinavir;Ritonavir,no
tri02886,PACTR202004893013257,control,undefined_soc,NA,NA,NA,NA
tri02888,PACTR202005622389003,experimental,NA,NA,drug,Azithromycin;Hydroxychloroquine,no
tri02888,PACTR202005622389003,experimental,NA,NA,drug,Azithromycin;Hydroxychloroquine,no
tri02888,PACTR202005622389003,control,defined_soc,NA,NA,NA,NA
tri03359,NCT04370834,experimental,NA,NA,biologics,Tocilizumab,no
tri02028,NCT04358783,experimental,NA,NA,biologics,Convalescent Plasma,undefined_soc
tri02028,NCT04358783,control,undefined_soc,NA,NA,NA,NA
tri04419,PACTR202006760881890,experimental,NA,NA,biologics,Convalescent Plasma,no
tri04419,PACTR202006760881890,control,placebo,no,NA,NA,NA
tri09190,NCT04894721,experimental,NA,NA,drug,Ivermectin,no
tri09190,NCT04894721,control,placebo,NA,NA,NA,NA
tri03235,NCT04421404,experimental,NA,NA,biologics,Convalescent Plasma,no
tri03235,NCT04421404,control,placebo,NA,NA,NA,NA
tri02475,NCT04377672,experimental,NA,NA,biologics,Convalescent Plasma,no
tri08600,NCT04853901,experimental,NA,NA,drug,Remdesivir,no
tri08600,NCT04853901,control,defined_soc,NA,NA,NA,NA
tri08159,NCT04779047,experimental,NA,NA,drug,Lopinavir;Remdesivir;Ritonavir,defined_soc
tri08159,NCT04779047,experimental,NA,NA,drug,Hydroxychloroquine;Ivermectin,defined_soc
tri08152,NCT04738045,experimental,NA,NA,drug,Lopinavir;Ritonavir,defined_soc
tri08152,NCT04738045,control,defined_soc,NA,NA,NA,NA
tri06779,NCT04621123,experimental,NA,NA,biologics,Convalescent Plasma,undefined_soc
tri06779,NCT04621123,control,placebo,undefined_soc,NA,NA,NA
tri08147,NCT04716569,experimental,NA,NA,drug,Ivermectin,undefined_soc
tri08147,NCT04716569,control,undefined_soc,NA,NA,NA,NA
tri07959,NCT04747158,experimental,NA,NA,biologics,Convalescent Plasma,no
tri07952,NCT04713176,experimental,NA,NA,drug,DWJ1248,defined_soc
tri07952,NCT04713176,control,placebo,defined_soc,NA,NA,NA
tri01745,CTRI/2020/04/024804,experimental,NA,NA,biologics,Convalescent Plasma,undefined_soc
tri01745,CTRI/2020/04/024804,control,undefined_soc,NA,NA,NA,NA
tri01742,CTRI/2020/04/024775,experimental,NA,NA,biologics,Convalescent Plasma,undefined_soc
tri01742,CTRI/2020/04/024775,control,undefined_soc,NA,NA,NA,NA
tri07043,NCT04602507,experimental,NA,NA,drug,Ivermectin,undefined_soc
tri07043,NCT04602507,control,placebo,undefined_soc,NA,NA,NA
tri07005,NCT04552379,experimental,NA,NA,biologics,Interferon Beta (Any),no
tri07005,NCT04552379,control,undefined_soc,NA,NA,NA,NA
tri05534,NCT04458948,experimental,NA,NA,drug,Azithromycin;Hydroxychloroquine,no
tri05475,NCT04452812,experimental,NA,NA,biologics,Convalescent Plasma,undefined_soc
tri05475,NCT04452812,control,placebo,undefined_soc,NA,NA,NA
tri03570,NCT04442191,experimental,NA,NA,biologics,Convalescent Plasma,no
tri03570,NCT04442191,control,placebo,no,NA,NA,NA
tri01085,NCT04318444,experimental,NA,NA,drug,Hydroxychloroquine,no
tri01085,NCT04318444,control,placebo,no,NA,NA,NA
tri01601,ACTRN12620000557932,experimental,NA,NA,drug,Vitamin C,defined_soc
tri01601,ACTRN12620000557932,control,defined_soc,NA,NA,NA,NA
tri00080,ChiCTR2000029559,experimental,NA,NA,drug,Hydroxychloroquine,no
tri00080,ChiCTR2000029559,experimental,NA,NA,drug,Hydroxychloroquine,no
tri00080,ChiCTR2000029559,control,placebo,no,NA,NA,NA
tri00512,ChiCTR2000030929,experimental,NA,NA,biologics,Convalescent Plasma,no
tri00512,ChiCTR2000030929,control,placebo,no,NA,NA,NA
tri00304,ChiCTR2000030472,experimental,NA,NA,drug,Danoprevir;Ritonavir,undefined_soc
tri00304,ChiCTR2000030472,control,undefined_soc,NA,NA,NA,NA
tri00140,ChiCTR2000030046,experimental,NA,NA,biologics,Convalescent Plasma,no
tri00106,ChiCTR2000029400,experimental,NA,NA,traditional_medicine,Traditional Medicine,no
tri00106,ChiCTR2000029400,experimental,NA,NA,multiple,Lopinavir;Ritonavir;Traditional Medicine,no
tri00106,ChiCTR2000029400,experimental,NA,NA,drug,Lopinavir;Ritonavir,no
tri02177,NCT04397523,experimental,NA,NA,biologics,Convalescent Plasma,no
tri03325,NCT04355767,experimental,NA,NA,biologics,Convalescent Plasma,no
tri03325,NCT04355767,control,placebo,no,NA,NA,NA
tri08909,NCT04871633,experimental,NA,NA,drug,Remdesivir,defined_soc
tri08909,NCT04871633,control,defined_soc,NA,NA,NA,NA
tri06148,NCT04528888,control,defined_soc,NA,NA,NA,NA
tri06148,NCT04528888,experimental,NA,NA,drug,Heparin (LMWH or Unfractionated);Methylprednisolone,no
tri06148,NCT04528888,experimental,NA,NA,drug,Methylprednisolone;Heparin (LMWH or Unfractionated),no
tri01591,ChiCTR2000032919,experimental,NA,NA,traditional_medicine,Traditional Medicine,no
tri01591,ChiCTR2000032919,control,placebo,no,NA,NA,NA
tri03024,NCT04303507,experimental,NA,NA,drug,Chloroquine,no
tri08900,NCT04869072,experimental,NA,NA,biologics,Convalescent Plasma,no
tri08638,IRCT20160516027929N8,experimental,NA,NA,device,High flow nasal cannula,defined_soc
tri08638,IRCT20160516027929N8,experimental,NA,NA,procedure,Mechanical Ventilation (Any),defined_soc
tri02779,IRCT20190810044500N5,experimental,NA,NA,drug,Colchicine,defined_soc
